"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"SL/001404","SL/001404_9180352","2","9180352","Nongowa","7.90338","-11.16301","ADM3","third-order administrative division","6295630|6255146|SL|01|9180352","Earth|Africa|Sierra Leone|Eastern Province|Nongowa","1","1","1","Refugees in Rural  and Urban Areas  in Sierra Leone","2011-01-03","start-actual","2011-12-31","","UNHCR","DAC","Sierra Leone","SLE","151|312|210|114|160|130|311","Government and civil society, general|Forestry|Transport and Storage|Post-secondary education|Other Social Infrastructure and Services|Population Policies / Programmes and Reproductive Health|Agriculture","15141|31210|21020|11420|16010|13040|31120","Government administration|Forestry policy and administrative management|Road transport|Higher education|Social/ welfare services|STD control including HIV/AIDS|Agricultural development","Pipeline/identification","2011","2011","1226232.0","316556.0","245246.4","63311.2"
"SL/001404","SL/001404_9180344","2","9180344","Niawa","7.73311","-11.36567","ADM3","third-order administrative division","6295630|6255146|SL|01|9180344","Earth|Africa|Sierra Leone|Eastern Province|Niawa","1","1","1","Refugees in Rural  and Urban Areas  in Sierra Leone","2011-01-03","start-actual","2011-12-31","","UNHCR","DAC","Sierra Leone","SLE","151|312|210|114|160|130|311","Government and civil society, general|Forestry|Transport and Storage|Post-secondary education|Other Social Infrastructure and Services|Population Policies / Programmes and Reproductive Health|Agriculture","15141|31210|21020|11420|16010|13040|31120","Government administration|Forestry policy and administrative management|Road transport|Higher education|Social/ welfare services|STD control including HIV/AIDS|Agricultural development","Pipeline/identification","2011","2011","1226232.0","316556.0","245246.4","63311.2"
"SL/001404","SL/001404_9180363","2","9180363","Small Bo","7.85651","-11.32867","ADM3","third-order administrative division","6295630|6255146|SL|01|9180363","Earth|Africa|Sierra Leone|Eastern Province|Small Bo","1","1","1","Refugees in Rural  and Urban Areas  in Sierra Leone","2011-01-03","start-actual","2011-12-31","","UNHCR","DAC","Sierra Leone","SLE","151|312|210|114|160|130|311","Government and civil society, general|Forestry|Transport and Storage|Post-secondary education|Other Social Infrastructure and Services|Population Policies / Programmes and Reproductive Health|Agriculture","15141|31210|21020|11420|16010|13040|31120","Government administration|Forestry policy and administrative management|Road transport|Higher education|Social/ welfare services|STD control including HIV/AIDS|Agricultural development","Pipeline/identification","2011","2011","1226232.0","316556.0","245246.4","63311.2"
"SL/001404","SL/001404_9180321","2","9180321","Kori","8.2027","-12.07256","ADM3","third-order administrative division","6295630|6255146|SL|03|9180321","Earth|Africa|Sierra Leone|Southern Province|Kori","1","1","1","Refugees in Rural  and Urban Areas  in Sierra Leone","2011-01-03","start-actual","2011-12-31","","UNHCR","DAC","Sierra Leone","SLE","151|312|210|114|160|130|311","Government and civil society, general|Forestry|Transport and Storage|Post-secondary education|Other Social Infrastructure and Services|Population Policies / Programmes and Reproductive Health|Agriculture","15141|31210|21020|11420|16010|13040|31120","Government administration|Forestry policy and administrative management|Road transport|Higher education|Social/ welfare services|STD control including HIV/AIDS|Agricultural development","Pipeline/identification","2011","2011","1226232.0","316556.0","245246.4","63311.2"
"SL/001465","SL/001465_2404399","3","2404399","Pujehun District","7.31855","-11.5792","ADM2","second-order administrative division","6295630|6255146|SL|03|2404399","Earth|Africa|Sierra Leone|Southern Province|Pujehun District","1","1","1","Food Security and Rehabilitation of Basic Infrastructure in Pujehun District","2010-01-01","start-actual","2013-09-30","","Germany","DEU","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Implementation","2010","2013","1539887.0","1539887.0","1539887.0","1539887.0"
"SL/001730","SL/001730_2404399","3","2404399","Pujehun District","7.31855","-11.5792","ADM2","second-order administrative division","6295630|6255146|SL|03|2404399","Earth|Africa|Sierra Leone|Southern Province|Pujehun District","1","1","1","Service Contract - RBA/ 149.5km Roads Pujehun District","2013-03-20","start-actual","2013-05-30","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Completion","2013","2013","49334.0","49334.0","49334.0","49334.0"
"SL/001652","SL/001652_2404399","3","2404399","Pujehun District","7.31855","-11.5792","ADM2","second-order administrative division","6295630|6255146|SL|03|2404399","Earth|Africa|Sierra Leone|Southern Province|Pujehun District","1","1","1","Works Contract - Bullom/Pujehun Lot 1","2010-05-06","start-actual","2012-12-13","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2010","2012","91090.0","91090.0","91090.0","91090.0"
"SL/001653","SL/001653_2404399","3","2404399","Pujehun District","7.31855","-11.5792","ADM2","second-order administrative division","6295630|6255146|SL|03|2404399","Earth|Africa|Sierra Leone|Southern Province|Pujehun District","1","1","1","Works Contract - Willoughb's/Pujehun Lot 2","2010-05-06","start-actual","2012-12-13","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2010","2012","67344.0","65060.0","67344.0","65060.0"
"SL/000854","SL/000854_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Agricultural Development Project in Kambia","2006-03-01","start-actual","2009-02-01","end-actual","Japanese International Cooperation Agency (JICA)","JPN","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2006","2009","1756965.0","1756965.0","1756965.0","1756965.0"
"SL/000856","SL/000856_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Project for Strenghtening District Health Management In Kambia","2008-05-01","start-actual","2011-05-31","end-actual","Japanese International Cooperation Agency (JICA)","JPN","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Completion","2008","2011","3077471.0","3077471.0","3077471.0","3077471.0"
